CVE_ZM,NOM_ZM,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_2015,POB_2020 proy,MC ,CF ,DIST_CC,TRAB_MUN,TRAB_MC,TRAB_OM,RES_MUN,RES_MC,RES_OM,POB_OANA,DMU_2010,DZC_ZM,PZC_ZM,PNDU,TIPO_MUN
21.01,Puebla-Tlaxcala,21,Puebla,21143,San Salvador el Verde,31355,33443,0,0,25.4,72.3,2.9,24.8,93.5,0.3,6.3,66.2,23.4,0,1,1,3
21.02,Tehuacán,21,Puebla,21149,Santiago Miahuatlán,25228,27176,1,1,0,64.8,31.7,3.5,92.2,5.8,2,91.3,28.2,0,1,1,1
21.02,Tehuacán,21,Puebla,21156,Tehuacán,319375,339077,1,1,0,95.3,0.3,4.4,89.5,2.1,8.4,94.4,76.1,0,1,1,1
21.01,Puebla-Tlaxcala,21,Puebla,21163,Tepatlaxco de Hidalgo,17472,18470,0,0,5.7,45.7,44.7,9.6,96.8,0.7,2.5,89,42.6,0,0,1,2
21.03,Teziutlán,21,Puebla,21174,Teziutlán,97590,104906,1,1,0,95.2,0.6,4.2,82.4,7,10.6,95,53,0,1,1,1
21.01,Puebla-Tlaxcala,21,Puebla,21181,Tlaltenango,7125,7485,0,0,4,59,32.5,8.5,90.9,8.5,0.5,76,19,1,1,1,3
22.01,Querétaro,22,Querétaro,22006,Corregidora,181684,208076,1,1,0,50.4,45.3,4.3,89.8,6.5,3.7,98.8,78.1,1,1,1,1
22.01,Querétaro,22,Querétaro,22008,Huimilpan,38295,42305,0,0,12.8,57.2,41.1,1.8,88.8,8.1,3.1,86.8,27.4,1,1,1,2
22.01,Querétaro,22,Querétaro,22011,El Marqués,156275,178672,1,1,0,65.2,32.3,2.5,64.7,11,24.3,94.7,58.4,1,1,1,1
22.01,Querétaro,22,Querétaro,22014,Querétaro,878931,976939,1,1,0,96,1.7,2.3,75.4,10.9,13.7,99.2,105.4,1,1,1,1
23.01,Cancún,23,Quintana Roo,23003,Isla Mujeres,19495,23070,1,1,0,89.4,9.9,0.8,86.2,11.5,2.3,93.5,56.3,0,1,1,1
23.02,Chetumal,23,Quintana Roo,23004,Othón P. Blanco,224080,265298,1,0,0,98.4,0,1.6,97.7,0,2.3,89,62.9,n.a.,1,1,1
23.01,Cancún,23,Quintana Roo,23005,Benito Juárez,743626,844698,1,1,0,96.8,0.3,2.9,96.7,0.3,3.1,99.4,104.3,0,1,1,1
24.01,Rioverde,24,San Luis Potosí,24011,Ciudad Fernández,45385,47527,1,1,0,75.5,22.3,2.1,93.9,5.7,0.4,73.7,22.6,1,1,1,1
24.01,Rioverde,24,San Luis Potosí,24024,Rioverde,94191,98982,1,1,0,94.9,2.2,2.8,86.8,10,3.3,82,33.2,1,1,1,1
24.02,San Luis Potosí,24,San Luis Potosí,24028,San Luis Potosí,824229,870578,1,1,0,96.7,0.9,2.4,79.8,12.6,7.6,98.8,103.5,1,1,1,1
24.02,San Luis Potosí,24,San Luis Potosí,24035,Soledad de Graciano Sánchez,309342,328949,1,1,0,52.1,42.3,5.6,94.5,4.6,0.9,98.4,112.8,1,1,1,1
24.02,San Luis Potosí,24,San Luis Potosí,24055,Zaragoza,26236,27163,0,0,18.2,49.3,49,1.7,88.1,9.9,2,95.2,74.4,0,0,1,3
25.01,Culiacán,25,Sinaloa,25006,Culiacán,905265,962871,1,0,0,98.9,0,1.1,97,0,3,90.2,80.8,n.a.,1,1,1
25.02,Mazatlán,25,Sinaloa,25012,Mazatlán,502547,533733,1,0,0,98,0,2,98.9,0,1.1,93.6,88.4,n.a.,1,1,1
26.01,Guaymas,26,Sonora,26025,Empalme,56177,60631,0,0,3.1,87.7,9.5,2.7,89.4,8.8,1.8,80.1,42.5,1,1,1,3
26.01,Guaymas,26,Sonora,26029,Guaymas,158046,171035,1,0,0,94.9,0,5.1,94.4,0,5.6,86.8,55.5,1,1,1,1
26.02,Hermosillo,26,Sonora,26030,Hermosillo,884273,946054,1,0,0,98.7,0,1.3,98.7,0,1.3,95.1,75.1,n.a.,1,1,1
26.03,Nogales,26,Sonora,26043,Nogales,233952,253486,1,0,0,99.5,0,0.5,98.8,0,1.2,99.4,95.8,n.a.,0,1,1
27.01,Villahermosa,27,Tabasco,27004,Centro,684847,739611,1,1,0,95.8,0.3,3.9,82.1,7.4,10.5,97.4,82.8,1,1,1,1
27.01,Villahermosa,27,Tabasco,27013,Nacajuca,138366,149256,1,1,0,45.9,47.5,6.6,92,3,4.9,93.8,107.9,1,1,1,1
28.05,Tampico,28,Tamaulipas,28003,Altamira,235066,255602,1,1,0,75.5,22.2,2.4,77.4,21,1.6,95.2,75.4,1,1,1,1
28.05,Tampico,28,Tamaulipas,28009,Ciudad Madero,209175,223413,1,1,0,72.1,24.5,3.4,78.1,21.5,0.4,99.4,82.1,1,1,1,1
28.02,Matamoros,28,Tamaulipas,28022,Matamoros,520367,546115,1,0,0,99,0,1,99.2,0,0.8,97.2,69.9,n.a.,1,1,1
28.03,Nuevo Laredo,28,Tamaulipas,28027,Nuevo Laredo,399431,421295,1,0,0,99.4,0,0.6,98.2,0,1.8,99.3,70.9,n.a.,1,1,1
28.04,Reynosa,28,Tamaulipas,28032,Reynosa,646202,686670,1,0,0,99.4,0,0.6,94.9,0,5.1,99,73.3,1,1,1,1
28.04,Reynosa,28,Tamaulipas,28033,Río Bravo,126887,133206,0,0,6.8,76.8,22.7,0.6,97.6,1,1.4,94,55.5,1,1,1,2
28.05,Tampico,28,Tamaulipas,28038,Tampico,314418,334535,1,1,0,79.2,17.3,3.5,71.3,26.2,2.5,98.6,95.6,1,1,1,1
28.01,Ciudad Victoria,28,Tamaulipas,28041,Victoria,346029,367051,1,0,0,97.4,0,2.6,98.3,0,1.7,98.1,65.2,n.a.,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29001,Amaxac de Guerrero,11144,12018,1,1,0,34,53.2,12.7,66.2,30.7,3.2,96.8,17.1,0,0,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29002,Apetatitlán de Antonio Carvajal,15271,16266,1,1,0,43.4,44.9,11.6,41.8,53.2,4.9,97.7,26.3,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29005,Apizaco,78624,85176,1,1,0,76.6,14.2,9.2,53.3,33.6,13.1,96.3,56.8,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29009,Cuaxomulco,5272,5720,1,1,0,44.7,43.7,11.6,83,14.4,2.6,82.3,7.8,0,0,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29010,Chiautempan,70011,77435,1,1,0,65.3,25.2,9.5,70.9,25,4.1,96.5,44.5,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,38324,41831,0,0,25.2,63.8,4.9,31.3,84.6,1.2,14.2,82.2,23.8,1,1,1,3
21.01,Puebla-Tlaxcala,29,Tlaxcala,29017,Mazatecochco de José María Morelos,10901,11601,1,1,0,85.7,10.1,4.2,88.5,7.1,4.5,86.5,53.4,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29018,Contla de Juan Cuamatzi,38330,41267,1,1,0,57.2,30.9,11.8,81.4,17.3,1.3,94.6,31.9,0,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29019,Tepetitla de Lardizábal,21060,22733,0,0,15.4,64.7,7.4,27.9,83.1,5.2,11.7,88.1,32.1,1,1,1,3
21.01,Puebla-Tlaxcala,29,Tlaxcala,29022,Acuamanala de Miguel Hidalgo,5925,6934,1,1,0,58.6,27,14.4,36.2,28.8,35,94.4,14.1,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29023,Natívitas,25053,27294,1,1,0,63.2,17.2,19.6,84.8,6.2,9.1,74.3,19,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29024,Panotla,27154,29017,1,1,0,46,34.1,19.9,75.2,15.7,9.1,92,24.2,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29025,San Pablo del Monte,77242,82542,1,1,0,49.3,49.2,1.5,88,6.5,5.5,95.9,67.3,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29026,Santa Cruz Tlaxcala,20242,22062,1,1,0,40.4,42.7,16.9,79.6,18,2.4,94.6,9.5,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29027,Tenancingo,12834,13938,1,1,0,47.6,46.8,5.6,86.8,11.8,1.4,92.8,32.5,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29028,Teolocholco,24380,26065,1,1,0,58.1,21.9,20,75.1,6.1,18.9,93.6,21.4,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29029,Tepeyanco,12047,14396,1,1,0,37,25.2,37.8,55.5,19.2,25.4,91,17.9,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29031,Tetla de la Solidaridad,32613,34866,1,1,0,60.3,31.2,8.5,62.1,29.9,8,91.5,17.8,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29032,Tetlatlahuca,13414,15237,1,1,0,60.2,19.8,20,91,4.9,4.1,78.5,16.4,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29033,Tlaxcala,95051,103435,1,1,0,75.1,11.2,13.8,48.1,28.9,23,98.6,40.1,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29035,Tocatlán,5843,6306,1,1,0,53.4,32.8,13.8,89.1,8.8,2,82.9,11.2,0,0,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29036,Totolac,21814,24161,1,1,0,38.4,46.3,15.3,86.5,9.9,3.6,98.6,37.6,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29038,Tzompantepec,16359,18563,1,1,0,40.5,49.5,10,77.8,20.3,1.9,92.2,13.1,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29039,Xaloztoc,23905,25784,1,1,0,63.2,27.3,9.5,77.9,17.6,4.5,88.9,24.5,1,0,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29041,Papalotla de Xicohténcatl,30364,32591,1,1,0,62,30.1,7.9,61.5,29.6,8.9,95.6,26.7,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29042,Xicohtzinco,13629,14770,1,1,0,49.3,43.1,7.6,66.1,30.4,3.6,96.6,28.1,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29043,Yauhquemehcan,38296,41773,1,1,0,48.2,42.1,9.7,79.4,16.5,4.1,96.2,27.4,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29044,Zacatelco,42686,47148,1,1,0,57.3,31.2,11.6,70.9,17.8,11.3,94.5,37.8,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29048,La Magdalena Tlaltelulco,18873,19967,1,1,0,42.4,37.6,20,58.4,32.4,9.2,96.8,17,0,0,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29049,San Damián Texóloc,5569,6022,1,1,0,46.1,35.9,18,87.7,7.4,4.9,83.9,24.1,0,0,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29050,San Francisco Tetlanohcan,10910,11502,1,1,0,46.3,31.8,21.9,86.1,10.2,3.7,86.3,21.3,0,0,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29051,San Jerónimo Zacualpan,3767,4107,1,1,0,47.5,28.9,23.6,74,17.3,8.7,85.1,18.6,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29053,San Juan Huactzinco,7511,8053,1,1,0,43.4,24.3,32.4,77.7,16.3,6,95.6,29.3,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29054,San Lorenzo Axocomanitla,5618,6031,1,1,0,38.8,46.2,15,77.6,18.9,3.5,91.8,48.2,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29056,Santa Ana Nopalucan,7773,8337,0,0,13.6,49,7.9,43.1,38.5,8.1,53.4,84.1,19.3,0,1,1,3
21.01,Puebla-Tlaxcala,29,Tlaxcala,29057,Santa Apolonia Teacalco,4559,4944,1,1,0,54.4,28.3,17.3,96.7,1.2,2.1,73.9,26.8,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29058,Santa Catarina Ayometla,8817,9500,1,1,0,48.1,41.6,10.3,80.4,14.2,5.4,91.9,17,1,1,1,1
21.01,Puebla-Tlaxcala,29,Tlaxcala,29059,Santa Cruz Quilehtla,7169,7664,1,1,0,60,25.7,14.2,90.4,7.1,2.5,91,17.9,1,1,1,1
29.01,Tlaxcala-Apizaco,29,Tlaxcala,29060,Santa Isabel Xiloxoxtla,4992,5367,1,1,0,39.2,31,29.8,29.1,43.5,27.4,93.1,7.8,0,0,1,1
30.01,Acayucan,30,Veracruz de Ignacio de la Llave,30003,Acayucan,87267,91195,1,1,0,89.4,0.6,10,79.6,6,14.4,82.2,56.1,1,0,1,1
30.07,Veracruz,30,Veracruz de Ignacio de la Llave,30011,Alvarado,52927,56635,0,0,55.9,94.2,1.7,4.1,91.7,3.4,4.9,74.8,82.2,1,1,1,3
30.03,Córdoba,30,Veracruz de Ignacio de la Llave,30014,Amatlán de los Reyes,45430,48007,1,1,0,65.8,26.3,8,84.9,8.7,6.3,80.7,24.9,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30022,Atzacan,21360,22414,0,0,2.8,60.1,29.8,10.2,95.4,3.5,1,66.2,49.5,1,1,1,3
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30026,Banderilla,24822,24692,1,1,0,41.3,50.2,8.5,52.9,15.4,31.7,97.1,51.1,1,1,1,1
30.07,Veracruz,30,Veracruz de Ignacio de la Llave,30028,Boca del Río,142207,152810,1,1,0,74.5,21.1,4.3,74.1,14.4,11.5,99.3,96.6,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30030,Camerino Z. Mendoza,42347,44880,1,1,0,67.9,23,9.1,73,18.9,8.2,98,70.5,1,1,1,1
30.06,Poza Rica,30,Veracruz de Ignacio de la Llave,30033,Cazones de Herrera,23675,24958,0,0,21.4,85.3,11.3,3.4,96,2.8,1.2,52.1,34.5,1,1,1,3
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30036,Coacoatzintla,10482,10965,0,0,8.6,59.1,32.8,8.1,91.4,2.2,6.4,75,48.5,0,0,1,2
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30038,Coatepec,92127,97949,0,0,4.8,70.2,24.9,4.9,82.9,5.3,11.8,89,65.2,1,1,1,2
30.02,Coatzacoalcos,30,Veracruz de Ignacio de la Llave,30039,Coatzacoalcos,319187,339108,1,1,0,94.8,2.1,3.2,85.2,0.8,14,99,80.3,1,1,1,1
30.06,Poza Rica,30,Veracruz de Ignacio de la Llave,30040,Coatzintla,56897,59863,1,1,0,49,45.3,5.6,90.4,5.6,3.9,92.5,71.3,1,1,1,1
30.03,Córdoba,30,Veracruz de Ignacio de la Llave,30044,Córdoba,218153,228703,1,1,0,93.6,2.1,4.3,79.5,11.4,9.1,95.3,92.7,1,1,1,1
30.04,Minatitlán,30,Veracruz de Ignacio de la Llave,30048,Cosoleacaque,129527,145830,1,0,0,56.6,23.5,19.9,88.5,5.8,5.7,95.6,58.6,1,1,1,1
30.04,Minatitlán,30,Veracruz de Ignacio de la Llave,30059,Chinameca,16241,17075,1,0,0,66.2,18,15.8,76.7,14.6,8.6,82.9,19.8,0,0,1,1
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30065,Emiliano Zapata,78336,84197,0,0,0.7,53.7,37,9.3,87.8,7.7,4.6,86.8,63.7,1,1,1,2
30.03,Córdoba,30,Veracruz de Ignacio de la Llave,30068,Fortín,66168,70428,1,1,0,60.7,30,9.3,81.9,6.5,11.7,91.4,52.3,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30074,Huiloapan de Cuauhtémoc,7221,7636,1,1,0,40.1,53.3,6.6,69,27.9,3.2,97.2,54.6,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30081,Ixhuatlancillo,24896,27351,1,1,0,40.6,48.9,10.5,88.3,10.4,1.4,94,73.4,1,1,1,1
30.02,Coatzacoalcos,30,Veracruz de Ignacio de la Llave,30082,Ixhuatlán del Sureste,15800,16524,0,0,14.3,54.3,42.6,3.1,93.9,4,2.1,92.8,44.8,1,1,1,2
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30085,Ixtaczoquitlán,68823,72556,1,1,0,65,24.6,10.5,76.4,18.3,5.3,82.9,44.5,1,1,1,1
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30087,Xalapa,480841,513443,1,1,0,94,0.6,5.3,79,4.1,16.9,98.5,106.9,1,1,1,1
30.04,Minatitlán,30,Veracruz de Ignacio de la Llave,30089,Jáltipan,41644,43828,0,0,9.1,73.6,12.8,13.6,87.6,6.2,6.2,86.1,39.7,0,0,1,3
30.07,Veracruz,30,Veracruz de Ignacio de la Llave,30090,Jamapa,11361,11971,0,0,14.5,53.3,35.1,11.6,90.5,2.4,7.1,78.1,33.9,1,0,1,2
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30092,Xico,38198,40406,0,0,13.8,61.5,19.9,18.6,92.5,1.7,5.8,76.1,61,0,0,1,2
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30093,Jilotepec,16682,17572,0,0,2.5,41.3,52.5,6.2,81.3,12.9,5.9,82.5,39.3,1,1,1,2
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30099,Maltrata,18096,18845,0,0,8.2,75,20.2,4.8,91.3,7.3,1.4,77,33.7,0,0,1,2
30.07,Veracruz,30,Veracruz de Ignacio de la Llave,30100,Manlio Fabio Altamirano,23408,24849,0,0,14.4,60.6,23.7,15.7,93.4,1.6,5,75.6,34.6,0,0,1,2
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30101,Mariano Escobedo,37285,38503,1,1,0,46.5,45.4,8.1,87.7,8.4,3.9,76.1,106,1,1,1,1
30.07,Veracruz,30,Veracruz de Ignacio de la Llave,30105,Medellín de Bravo,75346,83280,0,0,2.6,43.8,51.4,4.8,87.1,8.4,4.5,94.1,65.9,1,1,1,2
30.04,Minatitlán,30,Veracruz de Ignacio de la Llave,30108,Minatitlán,157393,164357,1,0,0,88.7,2,9.3,69.7,18.9,11.3,85.3,58.8,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30115,Nogales,37908,39768,1,1,0,48.9,41.8,9.3,79.5,16.8,3.7,93.2,58.5,1,1,1,1
30.01,Acayucan,30,Veracruz de Ignacio de la Llave,30116,Oluta,16710,17291,0,0,0.8,59.6,28.8,11.6,86.4,9.1,4.5,89.1,48.4,0,0,1,2
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30118,Orizaba,126005,134420,1,1,0,87.2,6.7,6,54.2,35,10.8,99.4,81.6,1,1,1,1
30.04,Minatitlán,30,Veracruz de Ignacio de la Llave,30120,Oteapan,16222,17084,1,0,0,39.1,41.1,19.8,88.5,6.2,5.3,96.9,18.1,0,0,1,1
28.05,Tampico,28,Tamaulipas,30123,Pánuco,100549,105926,1,1,0,86.9,10.3,2.7,89.9,4.6,5.5,75.6,40.7,1,1,1,1
30.06,Poza Rica,30,Veracruz de Ignacio de la Llave,30124,Papantla,161097,166496,0,0,10.9,78.7,17.5,3.9,96.1,1.8,2.2,71,50.9,1,1,1,3
30.06,Poza Rica,30,Veracruz de Ignacio de la Llave,30131,Poza Rica de Hidalgo,200119,217773,1,1,0,94.2,1.9,3.9,69.3,15.6,15.1,99.5,70.7,1,1,1,1
28.05,Tampico,28,Tamaulipas,30133,Pueblo Viejo,57646,60978,1,1,0,48.3,48.3,3.4,82.3,14.7,3,89.5,49.3,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30135,Rafael Delgado,23112,24439,1,1,0,49.2,41.2,9.6,90.3,5.4,4.4,82.3,44.5,1,1,1,1
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30136,Rafael Lucio,8068,8510,0,0,4.5,35.2,58.5,6.3,88.2,5.7,6.2,91.7,37.3,1,0,1,2
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30138,Río Blanco,41927,44568,1,1,0,50.5,42.9,6.6,69.1,25.7,5.2,99.1,72.6,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30140,San Andrés Tenejapan,2921,3097,0,0,3.7,41.9,50.5,7.6,90.9,6.5,2.6,83.8,35.7,0,0,1,2
30.01,Acayucan,30,Veracruz de Ignacio de la Llave,30145,Soconusco,16363,17083,1,1,0,49.4,35.3,15.3,88.1,5.7,6.2,83.4,40.7,1,0,1,1
30.06,Poza Rica,30,Veracruz de Ignacio de la Llave,30175,Tihuatlán,96418,100967,1,1,0,72.1,22.9,5,91.6,5.9,2.5,78.4,47.4,1,1,1,1
30.08,Xalapa,30,Veracruz de Ignacio de la Llave,30182,Tlalnelhuayocan,18715,19767,1,1,0,26.8,68.6,4.6,91.1,7.3,1.6,90.5,113.3,1,1,1,1
30.05,Orizaba,30,Veracruz de Ignacio de la Llave,30185,Tlilapan,5258,5584,0,0,0.3,49.5,42.5,8,76.2,19.5,4.4,87.9,28,1,1,1,2
30.07,Veracruz,30,Veracruz de Ignacio de la Llave,30193,Veracruz,609964,626918,1,1,0,94.1,3.3,2.6,83,4.3,12.7,99.3,111.6,1,1,1,1
30.03,Córdoba,30,Veracruz de Ignacio de la Llave,30196,Yanga,17896,18981,0,0,7.9,78.7,9.8,11.6,87.4,7.8,4.8,72.2,34.2,1,1,1,3
30.04,Minatitlán,30,Veracruz de Ignacio de la Llave,30199,Zaragoza,11354,11884,0,0,5.6,38.3,50.3,11.4,82.7,14.7,2.7,91,39.3,0,0,1,2
30.02,Coatzacoalcos,30,Veracruz de Ignacio de la Llave,30206,Nanchital de Lázaro Cárdenas del Río,30039,31215,1,1,0,85.1,11.4,3.4,52.9,16.4,30.7,98.7,93.4,1,1,1,1
31.01,Mérida,31,Yucatán,31002,Acanceh,16127,17390,0,0,13,59,36.4,4.6,72.1,10.2,17.7,91.9,21.1,0,0,1,2
31.01,Mérida,31,Yucatán,31013,Conkal,11141,11891,0,0,0.9,41.4,52.6,6,73.9,6.8,19.3,95,13.6,0,1,1,3
31.01,Mérida,31,Yucatán,31038,Hunucmá,32475,34856,0,0,13.8,63.4,32.5,4,88.8,8,3.1,87.1,24.6,0,0,1,2
31.01,Mérida,31,Yucatán,31041,Kanasín,96317,108918,1,1,0,40.3,57.1,2.6,94.1,3,2.9,98.2,51.7,0,1,1,1
31.01,Mérida,31,Yucatán,31050,Mérida,892363,963861,1,1,0,96.3,0.5,3.2,80.5,6.3,13.2,99,59.4,0,1,1,1
31.01,Mérida,31,Yucatán,31063,Samahil,5119,5540,0,0,12.5,44.9,50.8,4.3,76.7,4.5,18.7,81.1,22.8,0,0,1,2
31.01,Mérida,31,Yucatán,31090,Timucuy,7362,7877,0,0,12.6,28.3,66.4,5.3,84.4,11.7,4,88.9,20.7,0,0,1,2
31.01,Mérida,31,Yucatán,31093,Tixkokob,17787,19340,0,0,14.4,62,30,8,81.6,2.9,15.5,94,19.6,0,0,1,3
31.01,Mérida,31,Yucatán,31095,Tixpéhual,5407,5922,0,0,9.6,42.5,43.6,13.8,83.5,10,6.6,93.3,16.4,0,0,1,3
31.01,Mérida,31,Yucatán,31100,Ucú,3682,3963,0,0,1.8,65.4,31.7,2.9,90.9,3.9,5.2,87,9.6,0,1,1,3
31.01,Mérida,31,Yucatán,31101,Umán,55261,58139,1,1,0,66.5,31,2.5,75.1,7.4,17.5,96.9,52.5,0,1,1,1
32.01,Zacatecas-Guadalupe,32,Zacatecas,32017,Guadalupe,187918,199581,1,1,0,68.8,23.1,8.1,87.8,4,8.2,97.1,85.8,1,1,1,1
32.01,Zacatecas-Guadalupe,32,Zacatecas,32032,Morelos,12354,13120,0,0,7.7,67,18.8,14.3,78.4,12.5,9,87.6,42.6,0,0,1,2
32.01,Zacatecas-Guadalupe,32,Zacatecas,32050,Vetagrande,9796,10536,0,0,5.1,60.2,35.4,4.4,88.8,8.7,2.5,80,43.6,0,1,1,2
32.01,Zacatecas-Guadalupe,32,Zacatecas,32056,Zacatecas,146147,155533,1,1,0,90.9,4.1,5,66,21.6,12.4,98.1,94.1,1,1,1,1
32.01,Zacatecas-Guadalupe,32,Zacatecas,32057,Trancoso,19413,20285,0,0,10.8,50.3,39.8,9.8,84.6,10.2,5.2,91,46.8,0,0,1,2
